date	low	open	high	close
1358985600000	450.25	460	465.73	450.5
1359072000000	435	451.69	456.23	439.88
1359331200000	435.86	437.82	453.21	449.83
1359417600000	452.12	458.5	460.2	458.27
1359504000000	454.5	457	462.6	456.83
1359590400000	454.98	456.98	459.28	455.49
1359676800000	448.35	459.11	459.48	453.62
1359936000000	442	453.91	455.94	442.32
1360022400000	442.22	444.05	459.74	457.84
1360108800000	452.58	456.47	466.5	457.35
1360195200000	454.12	463.25	470	468.22
1360281600000	468.25	474	478.81	474.98
1360540800000	473.25	476.5	484.94	479.93
1360627200000	467.74	479.51	482.38	467.9
1360713600000	463.22	467.21	473.64	467.01
1360800000000	464.02	464.52	471.64	466.59
1360886400000	459.92	468.85	470.16	460.16
1361232000000	453.85	461.1	462.73	459.99
1361318400000	448.8	457.69	457.69	448.85
1361404800000	442.82	446	449.17	446.06
1361491200000	446.6	449.25	451.6	450.81
1361750400000	442.57	453.85	455.12	442.8
1361836800000	437.66	443.82	451.54	448.97
1361923200000	440.65	448.43	452.44	444.57
1362009600000	441.4	444.05	447.87	441.4
1362096000000	429.98	438	438.18	430.47
1362355200000	419	427.8	428.2	420.05
1362441600000	420.75	421.48	435.19	431.14
1362528000000	424.43	434.51	435.25	425.66
1362614400000	421.06	424.5	432.01	430.58
1362700800000	428.61	429.8	435.43	431.72
1362960000000	425.14	429.75	439.01	437.87
1363046400000	427.57	435.6	438.88	428.43
1363132800000	425.36	428.45	434.5	428.35
1363219200000	430.45	432.83	434.64	432.5
1363305600000	437.25	437.93	444.23	443.66
1363564800000	441.2	441.45	457.46	455.72
1363651200000	448.5	459.5	460.97	454.49
1363737600000	449.59	457.42	457.63	452.08
1363824000000	450.1	450.22	457.98	452.73
1363910400000	453.11	454.58	462.1	461.91
1364169600000	461.78	464.69	469.95	463.58
1364256000000	460.53	465.44	465.84	461.14
1364342400000	450.73	456.46	456.8	452.08
1364428800000	441.62	449.82	451.82	442.66
1364774400000	427.74	441.9	443.7	428.91
1364860800000	426.4	427.6	438.14	429.79
1364947200000	430.31	431.37	437.28	431.99
1365033600000	425.25	433.76	435	427.72
1365120000000	419.68	424.5	424.95	423.2
1365379200000	422.49	424.85	427.5	426.21
1365465600000	422.75	426.36	428.5	426.98
1365552000000	426.01	428.1	437.06	435.69
1365638400000	431.2	433.72	437.99	434.33
1365724800000	429.09	434.15	434.15	429.8
1365984000000	419.55	427	427.89	419.85
1366070400000	420.57	421.57	426.61	426.24
1366156800000	398.11	420.27	420.6	402.8
1366243200000	389.74	404.99	405.79	392.05
1366329600000	385.1	387.97	399.6	390.53
1366588800000	391.28	392.64	402.2	398.67
1366675200000	398.81	403.99	408.38	406.13
1366761600000	392.5	393.54	415.25	405.46
1366848000000	407	411.22	413.94	408.38
1366934400000	408.25	409.81	418.77	417.2
1367193600000	420	420.45	433.62	430.12
1367280000000	432.07	435.1	445.25	442.78
1367366400000	434.39	444.46	444.93	439.29
1367452800000	440.63	441.78	448.59	445.52
1367539200000	449.15	451.31	453.23	449.98
1367798400000	454.31	455.71	462.2	460.71
1367884800000	453.7	464.97	465.75	458.66
1367971200000	455.81	459.04	465.37	463.84
1368057600000	455.58	459.81	463	456.77
1368144000000	450.48	457.97	459.71	452.97
